Mina,MINA,https://coinmarketcap.com/currencies/mina/,$0.56
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,$0.06
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,$1.20
Dash,DASH,https://coinmarketcap.com/currencies/dash/,$35.46
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,$0.70
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,$3.54
EthereumPoW,ETHW,https://coinmarketcap.com/currencies/ethereum-pow/,$3.43
Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,$1.16
GMX,GMX,https://coinmarketcap.com/currencies/gmx/,$43.95
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,$0.23
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,$10.00
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,$0.24
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,$0.53
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,$0.03
Helium,HNT,https://coinmarketcap.com/currencies/helium/,$2.40
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,$0.23
Osmosis,OSMO,https://coinmarketcap.com/currencies/osmosis/,$1.10
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,$0.31
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,$0.02
Casper,CSPR,https://coinmarketcap.com/currencies/casper/,$0.03
NEM,XEM,https://coinmarketcap.com/currencies/nem/,$0.03
Decred,DCR,https://coinmarketcap.com/currencies/decred/,$19.56
Compound,COMP,https://coinmarketcap.com/currencies/compound/,$38.81
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,$0.86
ImmutableX,IMX,https://coinmarketcap.com/currencies/immutable-x/,$0.41
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,$0.52
Holo,HOT,https://coinmarketcap.com/currencies/holo/,$0.00
